#,Testi,Missä testataan,Odotettu lopputulos,Tulos,Huomiot
1,Uusi ostaja rekisteröityy,Puhelin / emulaattori,"Rekisteröityminen onnistuu ja ostaja pääsee heti appiin ilman ylläpitäjän hyväksyntää",OK,
2,Uusi kalastaja rekisteröityy,Puhelin / emulaattori,"Rekisteröityminen onnistuu ja kalastaja pääsee heti appiin ilman ylläpitäjän hyväksyntää",,
3,Uusi käyttäjä näkyy ylläpitäjälle,Selain,"Uusi ostaja tai kalastaja näkyy Käyttäjät-välilehdellä ilman erillistä hyväksyntää",,
4,Kalastaja kirjautuu sisään,Puhelin,"Kirjautuminen onnistuu ja välilehdet toimivat",,
5,Ostaja kirjautuu sisään,Puhelin / emulaattori,"Kirjautuminen onnistuu ja tarjoukset-näkymä latautuu oikein",,
6,Kalastaja tallentaa saaliin ilman myyntiä,Puhelin,"Saalis tallentuu ilman virhettä",,
7,Kalastaja tallentaa saaliin ja lähettää tarjouksen,Puhelin,"Saalis tallentuu ja tarjous lähtee oikeille ostajille",OK,Saaliserä lisätty onnistuneesti
8,Tarjous saapuu ostajalle appiin,Puhelin / emulaattori,"Tarjous näkyy Tarjoukset-listassa",OK,Tarjous tuli ostajille appiin
9,Tarjous saapuu ostajalle sähköpostiin,Oikea sähköposti,"Sähköposti tulee ja linkki avautuu oikein",OK,Tarjous tuli ostajille sähköpostiin
10,Push-ilmoitus saapuu ostajalle,Oikea puhelin,"Push tulee äänellä ja avaa appin oikein",,
11,Ostaja ei voi varata ilman omia tietoja,Puhelin / emulaattori,"Punainen viesti näkyy nappien yläpuolella ja Omat tiedot aukeaa",,
12,Ostaja täyttää omat tiedot,Puhelin / selain,"Tallennus onnistuu ja pakolliset kentät validioituvat oikein",,
13,Ostaja voi asettaa min kg / max kg,Selaim / puhelin,"Kentät näkyvät, tallentuvat ja 0 = ei rajaa",,
14,Ostaja varaa yksilajisen erän,Puhelin / emulaattori,"Varaus onnistuu ja näkyy kalastajalle",,
15,Ostaja tekee vastatarjouksen yksilajisesta erästä,Puhelin / emulaattori,"Vastatarjous onnistuu ja ALV 0 % / sis. ALV lasketaan oikein",,
16,Ostaja tekee vastatarjouksen ravuista,Puhelin / emulaattori,"Yksikkö on €/kpl, ei €/kg",,
17,Kalastaja saa ilmoituksen ostajan varauksesta / vastatarjouksesta,Puhelin,"Ilmoitus tulee appiin oikein",,
18,Kalastaja hyväksyy varauksen,Puhelin,"Hyväksytty kauppa näkyy ostajalle oikein",,
19,Ostaja näkee kalastajan tiedot hyväksytyssä kaupassa,Puhelin,"Nimi, Y-tunnus, yhteystiedot ja erätiedot näkyvät",,
20,Erätunnus rivittyy oikein mobiilissa,Puhelin,"Erätunnus ei mene päällekkäin muiden tietojen kanssa",,
21,Ostaja kuittaa erän vastaanotetuksi,Puhelin,"Toiminto onnistuu ja kalastajalle lähtee ilmoitus laskutusvalmiudesta",,
22,Kalastaja tekee laskun apissa,Selain / puhelin,"Lasku muodostuu oikein",,
23,Ostaja näkee laskun Laskut-välilehdellä,Puhelin / selain,"Lasku näkyy oikeilla tiedoilla",,
24,Ostaja avaa PDF-laskun,Puhelin / selain,"PDF aukeaa, ei kuollutta nappia",,
25,Kalastaja merkitsee laskun maksetuksi,Selain / puhelin,"Lasku siirtyy maksettuihin eikä sotke ownerin komissioita",,
26,Owner näkee komission oikein,Selain,"Kaupan arvo ja 3 % komissio lasketaan oikein",,
27,Monilajisen erän komissio,Selain,"Monilajisen erän kaupan arvo ja komissio eivät ole nollia",,
28,Ostajaraportti muodostuu,Selain / puhelin,"Raportissa näkyvät oikeat lajit, määrät ja keskihinnat",,
29,Virallinen saalisraportti muodostuu,Selain,"Raportti muodostuu ilman puuttuvia pakollisia tietoja",,
30,Virallisessa raportissa kalastajan tiedot näkyvät,Selain,"Kalastajan nimi, yritys, tunnukset ja yhteystiedot ovat mukana",,
31,Pyydyskoodit ovat oikein virallisessa raportissa,Selain,"Koodit vastaavat virallista ohjetta",,
32,Troolin raportointi,Selain / puhelin,"Troolausaika + vetonopeus tallentuvat ja raportoidaan oikein",,
33,Nuotan raportointi,Selain / puhelin,"Nuottausaika + vetonopeus tallentuvat ja raportoidaan oikein",,
34,Verkon lisäkentät,Selain / puhelin,"Solmuväli ja tarvittavat lisätiedot tallentuvat oikein",,
35,Etiketin tulostus Munbylla,Oikea puhelin + Munby,"Tulostuu juuri viimeksi valitulla etiketillä",,
36,QR-koodi Androidilla,Oikea puhelin,"QR avaa erän tiedot eikä vääriä toimintoja",,
37,QR-koodi iPhonella,Oikea iPhone,"QR avaa erän tiedot eikä Mailia",,
38,Vaakasuuntainen välilehtirivi,Puhelin,"Käyttäjä huomaa vihjeen Lisää -> ja voi pyyhkäistä lisää välilehtiä",,
39,Ostajan poistaminen ownerina,Selain,"Ostaja poistuu kokonaan eikä voi kirjautua sisään",,
40,Käyttäjän poistaminen ownerina,Selain,"Käyttäjä poistuu kokonaan eikä voi kirjautua sisään",,
41,Pääasiallinen päästä-päähän ostovirta yhdelle kalaerälle,Puhelin + selain + oikea sähköposti + oikea tulostin,"Kalastaja lisää kalaerän, ostaja varaa erän, ostaja hylkää erän ja tekee vastatarjouksen, jokaisesta vaiheesta lähtee oikea sähköposti, erä- ja ostotiedot sekä QR-koodit pysyvät oikein, kalastaja tulostaa etiketit ja tekee laskun ilman virheitä",,"Vaiheet 1-2 tehty: saaliserä lisätty, tarjous tuli ostajille appiin ja sähköpostiin. Seuraavaksi vaihe 3: varaa erä ostajana"
